ds,yhat
2020-07-09,10398.817660821043
2020-07-10,10685.688590979604
2020-07-11,7962.254020304923
2020-07-12,8041.9161843164775
2020-07-13,7323.985464889044
2020-07-14,9006.520562424332
2020-07-15,7534.550497069791
2020-07-16,9492.300828405707
2020-07-17,9590.866896641111
2020-07-18,6704.948512538109
2020-07-19,6651.787124053014
2020-07-20,5833.845345278207
2020-07-21,7451.555151973569
2020-07-22,5951.467830369482
2020-07-23,7918.430218693968
2020-07-24,8063.231598144256
2020-07-25,5259.336572158194
2020-07-26,5321.845202349231
2020-07-27,4650.2198475167725
2020-07-28,6441.10389925261
2020-07-29,5141.3534868605275
2020-07-30,7325.955642333662
2020-07-31,7700.171792294734
2020-08-01,5131.621177711623
2020-08-02,5429.390458517576
2020-08-03,4986.915235574389
2020-08-04,6994.954551527028
2020-08-05,5889.985527887464
2020-08-06,8246.636221100924
2020-08-07,8765.594246529316
2020-08-08,6310.599535050828
2020-08-09,6687.655541186332
2020-08-10,6287.991614365552
2020-08-11,8301.095391748833
2020-08-12,7163.140783838025
2020-08-13,9449.428711747049
2020-08-14,9862.277908527964
2020-08-15,7267.974607327886
2020-08-16,7475.916575847486
2020-08-17,6881.486000700823
2020-08-18,8678.972474881914
2020-08-19,7309.874591694074
2020-08-20,9355.200693366742
2020-08-21,9526.256076546915
2020-08-22,6692.2983151302105
2020-08-23,6668.662685409896
2020-08-24,5856.434047539223
2020-08-25,7455.221746541732
2020-08-26,5911.32374348305
2020-08-27,7809.904173032942
2020-08-28,7862.62864742605
2020-08-29,4944.372917676174
2020-08-30,4872.146735854402
2020-08-31,4047.7732300548532
2020-09-01,5670.650120250244
2020-09-02,4185.925484677525
2020-09-03,6176.711850091022
2020-09-04,6351.781831511641
2020-09-05,3582.359198210268
2020-09-06,3681.144885533201
2020-09-07,3045.1154161990953
2020-09-08,4868.416766351411
2020-09-09,3590.6827409146667
2020-09-10,5789.397734731309
2020-09-11,6167.74306432857
2020-09-12,3591.5366732106395
2020-09-13,3869.1355466425803
2020-09-14,3392.165435133681
2020-09-15,5350.735517052496
2020-09-16,4181.125820112145
2020-09-17,6458.233670742122
2020-09-18,6883.482419771648
2020-09-19,4321.800716415201
2020-09-20,4580.806956027424
2020-09-21,4053.732310901478
2020-09-22,5932.402271499133
2020-09-23,4655.603679160184
2020-09-24,6801.456119049669
2020-09-25,7075.226946417232
2020-09-26,4346.200923523513
2020-09-27,4426.742213458454
2020-09-28,3715.0855861600908
2020-09-29,5408.180439073299
2020-09-30,3949.9184141809747
2020-10-01,5923.367301001718
2020-10-02,6038.454234052103
2020-10-03,3168.71271010733
2020-10-04,3130.2344350672483
2020-10-05,2324.365747701766
2020-10-06,3950.4888162801617
2020-10-07,2454.149569101617
2020-10-08,4419.297920195118
2020-10-09,4555.942570638704
2020-10-10,1736.90582569256
2020-10-17,1272.333296949383
2020-10-18,1493.6707493759914
2020-10-19,970.859526474791
2020-10-20,2896.076100105556
2020-10-21,1707.3940460477834
2020-10-22,3981.190843918199
2020-10-23,4420.025457265501
2020-10-24,1889.5956024946645
2020-10-25,2197.909722591575
2020-10-26,1738.2072123066746
2020-10-27,3701.9467068977347
2020-10-28,2527.189054268436
2020-10-29,4790.993245249223
2020-10-30,5197.263767707054
2020-10-31,2613.659365557526
2020-11-01,2850.699792881215
2020-11-02,2304.606136319726
2020-11-03,4170.196935337599
2020-11-04,2889.1694571313674
2020-11-05,5042.406196013111
2020-11-06,5337.654098954634
2020-11-07,2646.3778796921124
2020-11-08,2782.7389917612327
2020-11-09,2146.332980159308
2020-11-10,3934.9914757419574
2020-11-11,2592.9807648539654
2020-11-12,4703.220413902829
2020-11-13,4974.965366485572
2020-11-14,2280.566057246373
2020-11-15,2434.4471816852456
2020-11-16,1835.8441226349441
2020-11-17,3681.6219780628153
2020-11-18,2414.508480942086
2020-11-19,4615.363168323704
2020-11-20,4990.924650326382
2020-11-21,2410.648559803184
2020-11-22,2685.7745214337365
2020-11-23,2212.1585703542087
2020-11-24,4183.193199274303
2020-11-25,3038.143442804715
2020-11-26,5354.518439279038
2020-11-27,5835.91745057799
2020-11-28,3349.0236656567413
2020-11-29,3702.564137804806
2020-11-30,3290.4049018794267
2020-12-01,5304.466615175051
2020-12-02,4183.10501021047
2020-12-03,6503.510963632778
2020-12-04,6969.568460253251
2020-12-05,4448.7800470864295
2020-12-06,4751.3957919990635
2020-12-07,4273.280572066058
2020-12-08,6208.841021046581
2020-12-09,4999.340465474796
2020-12-10,7225.221975026765
2020-12-11,7593.879929986278
2020-12-12,4976.492054686666
2020-12-13,5187.050449475486
2020-12-14,4625.129056731889
2020-12-15,6488.711523259635
2020-12-16,5222.410371473768
2020-12-17,7409.700070432505
2020-12-18,7760.606692833104
2020-12-19,5148.468150470573
2020-12-20,5388.905293811995
2020-12-21,4883.388742541326
2020-12-22,6829.496418736448
2020-12-23,5671.653465826355
2020-12-24,7992.517325429303
2020-12-25,8500.68059103748
2020-12-26,6067.45912191547
2020-12-27,6505.904841914121
2020-12-28,6213.580888150655
2020-12-29,8385.422644491864
2020-12-30,7462.014514196425
2020-12-31,10021.90337298622
2021-01-01,10769.389204166924
2021-01-02,8571.404256130994
2021-01-03,9236.61796822906
2021-01-04,9158.303181551508
2021-01-05,11527.285105938601
2021-01-06,10780.300968128551
2021-01-07,13492.389532444759
2021-01-08,14364.749462654163
2021-01-09,12261.676581207752
2021-01-10,12989.716258574888
2021-01-11,12940.565722614681
2021-01-12,15304.047325154417
2021-01-13,14517.620750152812
2021-01-14,17155.352479577185
2021-01-15,17919.183915286263
2021-01-16,15674.706830016981
2021-01-17,16230.284250487777
2021-01-18,15979.912395905014
2021-01-19,18116.145888774146
2021-01-20,17078.415304683956
2021-01-21,19445.357742227512
2021-01-22,19922.601164295604
2021-01-23,17379.614582694976
2021-01-24,17628.762505449347
2021-01-25,17068.100730755676
2021-01-26,18894.236864695336
2021-01-27,17550.585671246863
2021-01-28,19619.64084363921
2021-01-29,19810.704712564515
2021-01-30,16996.688579228223
2021-01-31,16993.122561165503
2021-02-01,16200.912361772362
2021-02-02,17819.166535615477
2021-02-03,16293.424434703968
2021-02-04,18207.90639929754
2021-02-05,18274.78239517803
2021-02-06,15366.297631491001
2021-02-07,15298.441786112324
2021-02-08,14472.151042946733
2021-02-09,16086.140234980881
2021-02-10,14585.140228008991
2021-02-11,16552.161869739677
2021-02-12,16696.22769440247
2021-02-13,13889.183708430508
2021-02-14,13944.729764583803
2021-02-15,13261.205552759599
2021-02-16,15034.45540391674
2021-02-17,13706.10172846733
2021-02-18,15855.848299418012
2021-02-19,16189.254437358006
2021-02-20,13574.592254323445
2021-02-21,13821.92524567168
2021-02-22,13325.944973016361
2021-02-23,15278.888669946686
2021-02-24,14118.86713552594
2021-02-25,16422.22356935781
2021-02-26,16891.363744046368
2021-02-27,14391.668906164507
2021-02-28,14731.523791003257
2021-03-01,14302.520722240977
2021-03-02,16295.111224169614
2021-03-03,15146.083791912779
2021-03-04,17430.962166143818
2021-03-05,17851.868418930466
2021-03-06,15274.461143579238
2021-03-07,15507.085134203993
2021-03-08,14943.667401826566
2021-03-09,16776.680519023692
2021-03-10,15445.500930258462
2021-03-11,17528.7813221754
2021-03-12,17732.276116209465
2021-03-13,14925.730423526351
2021-03-14,14921.969169195672
2021-03-15,14119.721838817159
2021-03-16,15716.504737541632
2021-03-17,14156.889583493177
2021-03-18,16024.778990981275
2021-03-19,16031.129622437807
2021-03-20,13050.735293232514
2021-03-21,12901.208870223561
2021-03-22,11985.700698580593
2021-03-23,13505.729502780692
2021-03-24,11909.198606997055
2021-03-25,13782.73721882718
2021-03-26,13839.293084298799
2021-03-27,10954.849368221046
2021-03-28,10947.354892325606
2021-03-29,10219.407173096433
2021-03-30,11971.013915805206
2021-03-31,10647.765229327535
2021-04-01,12833.040135358879
2021-04-02,13235.690652681917
2021-04-03,10726.817642734914
2021-04-04,11118.778489364897
2021-04-05,10807.964853532594
2021-04-06,12987.674511477162
2021-04-07,12096.407472313052
2021-04-08,14710.207499812115
2021-04-09,15530.489539335433
2021-04-10,13420.964186204807
2021-04-11,14186.796017528817
2021-04-12,14217.530651881725
2021-04-13,16700.11112520433
2021-04-14,16067.3103992031
2021-04-15,18890.205976895606
2021-04-16,19866.09356180564
2021-04-17,17855.52918263545
2021-04-18,18661.55317538046
2021-04-19,18672.66944772855
2021-04-20,21075.891038556816
2021-04-21,20305.17784924925
2021-04-22,22933.884042522917
2021-04-23,23662.652772591206
2021-04-24,21356.367420963456
2021-04-25,21823.295135620298
2021-04-26,21457.957490693647
2021-04-27,23454.04979927871
2021-04-28,22252.737821951294
2021-04-29,24434.952613113746
2021-04-30,24709.12471886786
2021-05-01,21947.970665935867
